Phases,Date,Headline,URL,Type,What it Does,Author,Desk,Image,Notes,Updates,
,,,,,,,,,,,
9,3/24/2015,"In German Town, a School-Year Highlight That Ended in Disaster",http://www.nytimes.com/2015/03/25/world/europe/in-haltern-a-school-year-highlight-that-ended-in-disaster.html,Article,,"Jack Ewing, Melissa Eddy",Europe,Y,,3/24/2015 20:54;3/24/2015 19:11;,
8,3/24/2015,What Happened on the Germanwings Flight,http://www.nytimes.com/interactive/2015/03/24/world/europe/germanwings-plane-crash-map.html,Article,,,Europe,Y / Graphic,,03/25/2015 11:29:47 PM;03/26/2015 08:14:19 AM;03/26/2015 10:59:25 AM;03/26/2015 01:41:27 PM;03/26/2015 01:41:32 PM;03/26/2015 01:43:22 PM;03/26/2015 01:43:34 PM;03/26/2015 01:56:11 PM;03/26/2015 02:10:47 PM;03/26/2015 02:15:58 PM;03/26/2015 05:46:55 PM;03/26/2015 05:54:30 PM;03/26/2015 05:58:16 PM;03/26/2015 06:14:48 PM;03/26/2015 06:15:11 PM;03/26/2015 08:16:55 PM;03/26/2015 09:30:14 PM;03/27/2015 11:36:22 AM;03/27/2015 11:38:06 AM;03/27/2015 12:04:51 PM;03/27/2015 01:59:50 PM;03/27/2015 06:43:07 PM;05/06/2015 09:12:20 AM;05/06/2015 09:13:13 AM;07/20/2015 12:49:48 PM;,
7,3/24/2015,Germanwings Crash in French Alps Kills 150; Cockpit Voice Recorder Is Found,http://www.nytimes.com/2015/03/25/world/europe/germanwings-crash.html,Article,BREAKING NEWS:,"Nicola Clark, Dan Bilefsky",Europe,Y,,9/25/2015 17:48;3/31/2015 17:3;3/25/2015 12:52;3/24/2015 23:36;3/24/2015 20:53;3/24/2015 19:11;3/24/2015 18:50;3/24/2015 18:29;3/24/2015 17:30;3/24/2015 16:31;3/24/2015 15:54;3/24/2015 15:35;3/24/2015 13:56;3/24/2015 13:35;3/24/2015 12:15;3/24/2015 11:58;3/24/2015 11:38;3/24/2015 10:55;3/24/2015 10:36;3/24/2015 10:17;3/24/2015 10:1;3/24/2015 9:39;3/24/2015 9:19;3/24/2015 9:1;3/24/2015 8:44;3/24/2015 8:24;3/24/2015 8:6;3/24/2015 7:47;3/24/2015 7:27;,07:27; 07:47; 08:06; 08:24; 08:44; 09:01; 09:19; 09:39; 10:01; 10:17; 10:36; 10:55; 11:38; 11:58; 12:15; 13:35; 13:56; 15:35; 15:54; 16:31; 17:30; 18;29; 18:50; 19:11; 20:53; 23:36;  
6,3/24/2015,Video of the Germanwings Crash Site,http://www.nytimes.com/video/world/europe/100000003591586/aerial-video-of-the-germanwings-crash.html,Multimedia,,By French Interior Ministry,Video,Y,,03/24/2015 08:41:40 PM;03/25/2015 09:45:49 AM;03/25/2015 10:56:38 AM;03/25/2015 11:01:00 AM;03/25/2015 12:02:10 PM;03/25/2015 03:05:46 PM;03/26/2015 03:55:56 PM;03/26/2015 04:00:58 PM;,
,,,,,,,,,,,
5,3/24/2015,Details Offered in Germanwings Crash,http://www.nytimes.com/video/world/europe/100000003590536/details-offered-in-germanwings-crash.html,Mulitmedia,,AP ,Video,Y,,3/24/2015 13:22:56;03/24/2015 01:31:22 PM;03/24/2015 01:45:16 PM;03/24/2015 01:45:18 PM;03/24/2015 01:45:19 PM;03/24/2015 01:45:20 PM;03/25/2015 12:03:17 PM;,
4,3/24/2015,France's Hollande says no survivors after plane crash,http://www.nytimes.com/video/multimedia/100000003589995/frances-hollande-says-no-survivors-after-plane-crash.html,Mulitmedia,,Reuters,Video,Y,,3/24/2015 8:26:18,
3,3/24/2015,Leaders on Germanwings Plane Crash,http://www.nytimes.com/video/world/europe/100000003590078/hollande-on-germanwings-plane-crash.html,Mulitmedia,,Reuters,Video,Y,,3/24/2015 9:41:05 AM;03/24/2015 09:46:20 AM;03/24/2015 09:54:15 AM;03/24/2015 09:56:03 AM;03/24/2015 09:56:09 AM;03/24/2015 09:56:33 AM;03/24/2015 10:21:07 AM;03/24/2015 12:24:03 PM;03/24/2015 12:46:00 PM;03/24/2015 12:56:40 PM;03/24/2015 01:03:16 PM;03/24/2015 01:06:11 PM;03/25/2015 12:03:41 PM;03/25/2015 01:49:50 PM;03/25/2015 02:03:10 PM;,
2,3/24/2015,Website shows flight path of crashed Germanwings plane.,http://www.nytimes.com/video/multimedia/100000003590103/website-shows-flight-path-of-crashed-germanwings-plane.html,Mulitmedia,,Reuters,Video,Y,,3/24/2015 9:45:14,
